,Unnamed: 0,Cases,location,Year,Days with AQI,Good Days,Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median_AQI,Days NO2,Days Ozone,Days PM2.5,countyFIPS,State,population,County,goodday%,unhealthyday%,hazardousday%,ozoneday%,NO2day%,PM2.5day%,AQI_per_population,Forecast,Actual_or_Forecast
0,0,37285,"Baldwin, AL",2014,280,232,0,0,112,59,38,0,205,75,1003,AL,223234,Baldwin,82.85714286,0,0,73.21428571,0,26.78571429,0.017022497,42.67690852,Actual
1,1,37285,"Baldwin, AL",2015,264,230,0,0,129,53,38,0,189,75,1003,AL,223234,Baldwin,87.12121212,0,0,71.59090909,0,28.40909091,0.017022497,38.00840059,Actual
2,2,37285,"Baldwin, AL",2016,279,247,0,0,87,51,37,0,221,58,1003,AL,223234,Baldwin,88.53046595,0,0,79.21146953,0,20.78853047,0.016574536,36.47944309,Actual
3,3,37285,"Baldwin, AL",2017,270,241,0,0,108,51,36,0,206,64,1003,AL,223234,Baldwin,89.25925926,0,0,76.2962963,0,23.7037037,0.016126576,35.3256739,Actual
4,4,37285,"Baldwin, AL",2018,270,245,0,0,97,50,35,0,214,56,1003,AL,223234,Baldwin,90.74074074,0,0,79.25925926,0,20.74074074,0.015678615,34.24634162,Actual
5,5,37285,"Baldwin, AL",2019,271,237,0,0,80,52,37,0,220,51,1003,AL,223234,Baldwin,87.45387454,0,0,81.18081181,0,18.81918819,0.016574536,36.93650156,Actual
6,6,37285,"Baldwin, AL",2020,269,250,0,0,74,49,36,0,198,71,1003,AL,223234,Baldwin,92.93680297,0,0,73.60594796,0,26.39405204,0.016126576,35.63043715,Actual
7,6,37285,"Baldwin, AL",2021,269,250,0,0,74,49,35.29445357,0,198,71,1003,AL,223234,Baldwin,92.93680297,0,0,73.60594796,0,26.39405204,0.016126576,35.29445357,Forecast
8,7,2455,"Clay, AL",2014,114,96,0,0,70,54,36,0,0,114,1027,AL,13235,Clay,84.21052632,0,0,0,0,100,0.272006045,35.76781432,Actual
9,8,2455,"Clay, AL",2015,112,101,0,0,91,50,32,0,0,112,1027,AL,13235,Clay,90.17857143,0,0,0,0,100,0.241783151,31.15204293,Actual
10,9,2455,"Clay, AL",2016,116,109,0,0,56,45,30,0,0,116,1027,AL,13235,Clay,93.96551724,0,0,0,0,100,0.226671704,29.14103552,Actual
11,10,2455,"Clay, AL",2017,118,104,0,0,66,52,30,0,0,118,1027,AL,13235,Clay,88.13559322,0,0,0,0,100,0.226671704,29.31763767,Actual
12,11,2455,"Clay, AL",2018,110,103,0,0,64,45,27,0,0,110,1027,AL,13235,Clay,93.63636364,0,0,0,0,100,0.204004533,25.97414089,Actual
13,12,2455,"Clay, AL",2019,107,97,0,0,67,50,30,0,0,107,1027,AL,13235,Clay,90.65420561,0,0,0,0,100,0.226671704,29.58478237,Actual
14,13,2455,"Clay, AL",2020,108,99,0,0,86,49,26,0,0,108,1027,AL,13235,Clay,91.66666667,0,0,0,0,100,0.19644881,24.97503739,Actual
